layer,level,sid,n,correct,accuracy,uplift,wilson_lower,p_value,q_value,selected
0,0,221,44838,21902,0.48846960167714887,0.0,0.48384391595478843,1.0,1.0,False
0,1,68,127,15,0.11811023622047244,-0.3703593654566764,0.07289639770279097,1.0,1.0,False
0,1,95,41742,21519,0.5155239327296248,0.027054331052475955,0.5107283713612554,0.0,0.0,True
0,1,123,2957,366,0.12377409536692593,-0.36469550631022296,0.11238982898413663,1.0,1.0,False
0,2,15,127,15,0.11811023622047244,-0.3703593654566764,0.07289639770279097,1.0,1.0,False
0,2,20,1142,178,0.15586690017513136,-0.33260270150201754,0.1359862387110491,1.0,1.0,False
0,2,68,129,64,0.49612403100775193,0.007654429330603063,0.41121117474868096,0.46549764245890507,1.0,False
0,2,99,393,48,0.12213740458015267,-0.3663321970969962,0.09337128979674066,1.0,1.0,False
0,2,115,27309,15123,0.553773481269911,0.06530387959276213,0.5478704707729919,4.1395099906396645e-263,1.9924841421612253e-260,True
0,2,120,114,9,0.07894736842105263,-0.40952223325609627,0.04208813714490404,1.0,1.0,False
0,2,128,14078,6276,0.44580196050575366,-0.04266764117139521,0.4376069847576645,1.0,1.0,False
0,2,187,267,27,0.10112359550561797,-0.3873460061715309,0.07043161365736766,1.0,1.0,False
0,2,193,305,32,0.10491803278688525,-0.38355156889026365,0.0753030116999466,1.0,1.0,False
0,2,217,753,73,0.09694555112881806,-0.39152405054833084,0.07781215742866684,1.0,1.0,False
1,0,221,44838,21902,0.48846960167714887,0.0,0.48384391595478843,1.0,1.0,False
1,1,146,3428,487,0.14206534422403733,-0.34640425745311154,0.1307785867549393,1.0,1.0,False
1,1,212,14101,6291,0.44613857173250127,-0.0423310299446476,0.4379495728902045,1.0,1.0,False
1,1,244,27309,15124,0.5538100992346845,0.06534049755753563,0.5479071305745596,2.1022589501056396e-263,1.5178309619762718e-260,True
1,2,123,118,20,0.1694915254237288,-0.31897807625342006,0.11248224271964077,0.9999999999999114,1.0,False
1,2,140,272,55,0.20220588235294118,-0.2862637193242077,0.15877318950388025,1.0,1.0,False
1,2,156,574,255,0.4442508710801394,-0.04421873059700948,0.40410579863445445,0.9852755730731451,1.0,False
1,2,187,232,24,0.10344827586206896,-0.3850213258150799,0.07050632359238619,1.0,1.0,False
1,2,205,107,13,0.12149532710280374,-0.3669742745743451,0.07239365431718055,0.9999999999999999,1.0,False
1,2,215,42436,21334,0.5027335281364879,0.014263926459338994,0.4979762855493831,7.474749784334818e-150,1.5419340983684968e-147,True
1,2,228,187,44,0.23529411764705882,-0.25317548403009005,0.18020437636510725,0.9999999999997232,1.0,False
1,2,229,561,60,0.10695187165775401,-0.3815177300193949,0.08399793532918139,1.0,1.0,False
2,0,221,44838,21902,0.48846960167714887,0.0,0.48384391595478843,1.0,1.0,False
2,1,146,2550,298,0.11686274509803922,-0.37160685657910963,0.10496595003555588,1.0,1.0,False
2,1,176,700,124,0.17714285714285713,-0.31132674453429177,0.15064395980363565,1.0,1.0,False
2,1,212,14237,6350,0.44602093137599214,-0.04244867030115673,0.4378713003086128,1.0,1.0,False
2,1,244,27310,15124,0.5537898205785426,0.06532021890139378,0.5478869369439047,2.8901261874711686e-263,1.669336885883347e-260,True
2,2,7,467,54,0.11563169164882227,-0.3728379100283266,0.0897129252179399,1.0,1.0,False
2,2,11,224,24,0.10714285714285714,-0.3813267445342917,0.07306247317455195,1.0,1.0,False
2,2,15,2186,929,0.4249771271729186,-0.06349247450423029,0.4044033285654767,0.9999999995444123,1.0,False
2,2,60,25913,14249,0.5498784393933547,0.06140883771620581,0.5438139618080453,1.3366227356860792e-204,3.216805383884497e-202,True
2,2,111,472,135,0.2860169491525424,-0.20245265252460648,0.24710414397097738,1.0,1.0,False
2,2,113,182,49,0.2692307692307692,-0.21923883244637965,0.21004988685159684,0.9999999995574818,1.0,False
2,2,140,263,42,0.1596958174904943,-0.3287737841866546,0.12036923936813515,1.0,1.0,False
2,2,146,169,35,0.20710059171597633,-0.28136900996117253,0.1528476968527132,0.9999999999999915,1.0,False
2,2,152,11752,5374,0.457283866575902,-0.031185735101246892,0.4482923004538226,0.9999999999999996,1.0,False
2,2,156,1734,763,0.4400230680507497,-0.04844653362639917,0.4168167294790951,0.9999831209452921,1.0,False
2,2,157,308,77,0.25,-0.23846960167714887,0.20492053799309182,1.0,1.0,False
2,2,187,221,23,0.10407239819004525,-0.3843972034871036,0.07035424158360921,1.0,1.0,False
2,2,205,124,11,0.08870967741935484,-0.39975992425779405,0.05025570175545941,1.0,1.0,False
2,2,228,186,42,0.22580645161290322,-0.2626631500642457,0.17161915298791466,0.9999999999999617,1.0,False
2,2,229,117,19,0.1623931623931624,-0.32607643928398644,0.10649722549629984,0.9999999999999712,1.0,False
2,2,236,109,11,0.10091743119266056,-0.3875521704844883,0.05728913809310716,1.0,1.0,False
2,2,242,114,13,0.11403508771929824,-0.37443451395785066,0.06786457323913275,1.0,1.0,False
3,0,221,44838,21902,0.48846960167714887,0.0,0.48384391595478843,1.0,1.0,False
3,1,4,9000,4227,0.4696666666666667,-0.01880293501048219,0.45937072073517543,0.9999689309932571,1.0,False
3,1,25,150,17,0.11333333333333333,-0.3751362683438155,0.07197363837164525,1.0,1.0,False
3,1,66,15844,8397,0.5299798030800303,0.041510201402881475,0.5222018541133515,6.906415413409977e-39,1.9554635013654915e-37,True
3,1,67,117,15,0.1282051282051282,-0.3602644734720207,0.0792556745095868,1.0,1.0,False
3,1,79,11487,6732,0.5860537999477671,0.0975841982706182,0.5770192147422792,1.3929715571803383e-130,2.366412857139304e-128,True
3,1,136,1010,68,0.06732673267326733,-0.42114286900388154,0.05345416125042385,1.0,1.0,False
3,1,146,177,27,0.15254237288135594,-0.33592722879579295,0.10700252578723557,1.0,1.0,False
3,1,176,1565,250,0.1597444089456869,-0.32872519273146195,0.14242898470048726,1.0,1.0,False
3,1,220,5397,2159,0.4000370576246063,-0.08843254405254258,0.38704211719585546,1.0,1.0,False
3,2,7,717,85,0.11854951185495119,-0.3699200898221977,0.09689645522434401,1.0,1.0,False
3,2,15,4183,2374,0.5675352617738465,0.07906566009669763,0.5524664888149865,3.457970179589344e-27,6.613654224274188e-26,True
3,2,57,8390,4031,0.48045292014302743,-0.00801668153412144,0.4697734412977053,0.9496586741803742,1.0,False
3,2,60,172,36,0.20930232558139536,-0.27916727609575354,0.1551892322736421,0.9999999999999916,1.0,False
3,2,93,202,24,0.1188118811881188,-0.36965772048903006,0.08115394019550215,1.0,1.0,False
3,2,107,152,86,0.5657894736842105,0.07731987200706164,0.48633068774914295,0.033633655427075713,0.10097089072078448,False
3,2,111,8212,4513,0.5495616171456406,0.06109201546849169,0.5387798136492405,8.871869732406712e-35,2.1713525243381853e-33,True
3,2,113,3626,1602,0.44180915609487037,-0.0466604455822785,0.42571510417474256,0.9999999980448551,1.0,False
3,2,123,328,112,0.34146341463414637,-0.1470061870430025,0.2922442930043405,0.9999999752492507,1.0,False
3,2,140,449,75,0.16703786191536749,-0.3214317397617814,0.1353905341721335,1.0,1.0,False
3,2,146,2846,1285,0.4515108924806746,-0.03695870919647426,0.4333050754789511,0.9999792494877512,1.0,False
3,2,152,264,75,0.2840909090909091,-0.20437869258623975,0.2330888856412528,0.9999999999962225,1.0,False
3,2,156,2779,1352,0.4865059373875495,-0.001963664289599376,0.4679540553469018,0.5922287546088286,1.0,False
3,2,157,3373,1685,0.4995552920249037,0.011085690347754806,0.48269141094995416,0.09318599652196645,0.25852176556718454,False
3,2,202,1064,620,0.5827067669172933,0.09423716524014442,0.552831122326634,2.794451954236444e-10,1.9828936717038944e-09,True
3,2,215,136,64,0.47058823529411764,-0.017881366383031227,0.3886637521314314,0.692512452378103,1.0,False
3,2,228,142,36,0.2535211267605634,-0.2349484749165855,0.18911141381614543,0.9999999972499434,1.0,False
3,2,229,6069,3305,0.5445707694842643,0.05610116780711544,0.5320169668090932,2.980799847883849e-21,4.2406650052652985e-20,True
3,2,242,325,55,0.16923076923076924,-0.31923883244637963,0.13238426545132725,1.0,1.0,False
3,2,250,134,64,0.47761194029850745,-0.010857661378641414,0.3948462125131782,0.6321602256207087,1.0,False
3,2,253,843,370,0.4389086595492289,-0.04956094212791995,0.40576061262221674,0.9983856253652865,1.0,False
4,0,221,44838,21902,0.48846960167714887,0.0,0.48384391595478843,1.0,1.0,False
4,1,25,274,84,0.30656934306569344,-0.18190025861145542,0.25496242002295993,0.9999999997005781,1.0,False
4,1,93,16087,8493,0.5279418163734693,0.039472214696320396,0.5202215358904,3.769770790324901e-36,9.988163341704875e-35,True
4,1,136,457,23,0.05032822757111598,-0.4381413741060329,0.033767227621704234,1.0,1.0,False
4,1,146,989,120,0.12133468149646107,-0.36713492018068783,0.10243658579265992,1.0,1.0,False
4,1,151,13519,6078,0.4495894666765293,-0.03888013500061954,0.44121934557808673,1.0,1.0,False
4,1,164,11186,6619,0.5917217951010191,0.10325219342387021,0.5825831331152884,5.682661320974395e-141,1.0941017263316035e-138,True
4,1,176,1537,235,0.15289525048796357,-0.3355743511891853,0.13577004556695899,1.0,1.0,False
4,1,212,152,43,0.28289473684210525,-0.2055748648350436,0.21732821133276298,0.9999999259746352,1.0,False
4,1,247,296,120,0.40540540540540543,-0.08306419627174344,0.3510309508521781,0.9983396937915092,1.0,False
4,2,7,534,63,0.11797752808988764,-0.3704920735872612,0.09330729243834954,1.0,1.0,False
4,2,15,3250,1869,0.575076923076923,0.08660732139977417,0.5580026448155634,5.98022425687265e-25,1.0595636597452892e-23,True
4,2,57,10800,5336,0.49407407407407405,0.005604472396925186,0.4846484654798218,0.09238049086867912,0.25653351695071663,False
4,2,93,453,95,0.2097130242825607,-0.27875657739458815,0.17474258662667144,1.0,1.0,False
4,2,107,241,80,0.33195020746887965,-0.1565193942082692,0.27554129641540726,0.9999997011295736,1.0,False
4,2,111,7431,4226,0.5686986946575158,0.0802290929803669,0.5574053889873485,3.9419745551753885e-52,1.7249125023252307e-50,True
4,2,113,3889,1622,0.4170737978914888,-0.07139580378566007,0.4016659681480516,1.0,1.0,False
4,2,123,261,75,0.28735632183908044,-0.20111327983806843,0.2358519264947424,0.9999999999893403,1.0,False
4,2,140,210,37,0.1761904761904762,-0.3122791254866727,0.13061337248865776,1.0,1.0,False
4,2,146,3780,1663,0.4399470899470899,-0.04852251173005895,0.42419166178159945,0.9999999998103964,1.0,False
4,2,152,102,34,0.3333333333333333,-0.15513626834381555,0.2493697609902782,0.9994636847814761,1.0,False
4,2,156,1790,829,0.4631284916201117,-0.025341110057037153,0.4401318806346418,0.9865910726722373,1.0,False
4,2,157,6011,3339,0.5554816170354351,0.06701201535828621,0.5428880390254295,3.1906599321187883e-29,6.677265133303667e-28,True
