layer,level,sid,n,correct,accuracy,uplift,wilson_lower,p_value,q_value,selected
0,1,95,41742,21519,0.5155239327296248,0.027054331052475955,0.5107283713612554,0.0,0.0,True
0,2,115,27309,15123,0.553773481269911,0.06530387959276213,0.5478704707729919,4.1395099906396645e-263,1.9924841421612253e-260,True
1,1,244,27309,15124,0.5538100992346845,0.06534049755753563,0.5479071305745596,2.1022589501056396e-263,1.5178309619762718e-260,True
1,2,215,42436,21334,0.5027335281364879,0.014263926459338994,0.4979762855493831,7.474749784334818e-150,1.5419340983684968e-147,True
2,1,244,27310,15124,0.5537898205785426,0.06532021890139378,0.5478869369439047,2.8901261874711686e-263,1.669336885883347e-260,True
2,2,60,25913,14249,0.5498784393933547,0.06140883771620581,0.5438139618080453,1.3366227356860792e-204,3.216805383884497e-202,True
3,1,66,15844,8397,0.5299798030800303,0.041510201402881475,0.5222018541133515,6.906415413409977e-39,1.9554635013654915e-37,True
3,1,79,11487,6732,0.5860537999477671,0.0975841982706182,0.5770192147422792,1.3929715571803383e-130,2.366412857139304e-128,True
3,2,15,4183,2374,0.5675352617738465,0.07906566009669763,0.5524664888149865,3.457970179589344e-27,6.613654224274188e-26,True
3,2,111,8212,4513,0.5495616171456406,0.06109201546849169,0.5387798136492405,8.871869732406712e-35,2.1713525243381853e-33,True
3,2,202,1064,620,0.5827067669172933,0.09423716524014442,0.552831122326634,2.794451954236444e-10,1.9828936717038944e-09,True
3,2,229,6069,3305,0.5445707694842643,0.05610116780711544,0.5320169668090932,2.980799847883849e-21,4.2406650052652985e-20,True
4,1,93,16087,8493,0.5279418163734693,0.039472214696320396,0.5202215358904,3.769770790324901e-36,9.988163341704875e-35,True
4,1,164,11186,6619,0.5917217951010191,0.10325219342387021,0.5825831331152884,5.682661320974395e-141,1.0941017263316035e-138,True
4,2,15,3250,1869,0.575076923076923,0.08660732139977417,0.5580026448155634,5.98022425687265e-25,1.0595636597452892e-23,True
4,2,111,7431,4226,0.5686986946575158,0.0802290929803669,0.5574053889873485,3.9419745551753885e-52,1.7249125023252307e-50,True
4,2,157,6011,3339,0.5554816170354351,0.06701201535828621,0.5428880390254295,3.1906599321187883e-29,6.677265133303667e-28,True
4,2,202,1432,811,0.5663407821229051,0.0778711804457562,0.5405286941551108,1.1912135720097832e-09,8.019172018564695e-09,True
5,1,92,9798,5801,0.5920596040008165,0.10359000232366761,0.5822941182473034,1.053115480142067e-119,1.4482845269763283e-117,True
5,1,197,4331,2230,0.5148926344954976,0.026423032818348735,0.5000013560692328,0.00013448384645532323,0.0005805520905276135,True
5,1,208,13218,7112,0.5380541685580269,0.049584566880878034,0.5295450676429866,2.912420208935792e-42,9.14246691674627e-41,True
5,2,15,2959,1710,0.5778979384927341,0.08942833681558521,0.5600123748204937,4.032082870314431e-24,6.849797252628281e-23,True
5,2,111,9109,5267,0.5782193435064222,0.08974974182927337,0.5680467630967831,1.6144515866601706e-82,1.2951489395207148e-80,True
5,2,157,5439,3040,0.5589262732119875,0.07045667153483864,0.5456936668270983,7.783516012188283e-29,1.6056281602285542e-27,True
5,2,202,1172,635,0.5418088737201365,0.05333927204298766,0.5131927344477983,0.00012007134223848847,0.0005214526862928642,True
6,1,91,12075,6778,0.5613250517598344,0.07285545008268551,0.5524559584844851,1.2178389287214084e-78,8.792797065368568e-77,True
6,1,227,15184,8322,0.5480769230769231,0.05960732139977426,0.5401495683929399,2.931774634818427e-73,1.8014819458203442e-71,True
6,2,15,1658,933,0.5627261761158022,0.07425657443865336,0.5387308345127823,4.052949529241339e-10,2.8479119806445223e-09,True
6,2,30,164,108,0.6585365853658537,0.17006698368870482,0.5830751067445152,7.98174466363069e-06,3.893797058879296e-05,True
6,2,32,177,127,0.7175141242937854,0.2290445226166365,0.647113384526507,4.732325109649356e-10,3.2853257011219565e-09,True
6,2,111,7465,4305,0.5766912257200268,0.08822162404287798,0.5654462484834306,5.723234999741424e-63,3.005218668955133e-61,True
6,2,157,4756,2773,0.5830529857022708,0.09458338402512195,0.5689784997015787,1.1811966749717742e-43,4.0132894086099814e-42,True
6,2,202,2579,1424,0.5521519968980225,0.06368239522087366,0.5328963371036228,1.5028515989961635e-11,1.1361872821730158e-10,True
7,1,50,7273,3838,0.5277052110545855,0.03923560937743659,0.5162199559187605,1.4376460019163008e-13,1.2543569950254612e-12,True
7,1,58,4328,2347,0.54228280961183,0.053813207934681084,0.5274087695137742,5.1863554832219796e-14,4.785365698257214e-13,True
7,1,107,535,320,0.5981308411214953,0.10966123944434641,0.5560285971904856,1.964084288502674e-07,1.1100343297838988e-06,True
7,1,191,9473,5357,0.5655019529188219,0.07703235124167301,0.5554952575259704,2.690363488682606e-64,1.494186491406801e-62,True
7,1,245,9786,5495,0.5615164520743919,0.07304685039724307,0.5516629027792654,2.229145105331651e-60,1.109960528309967e-58,True
7,2,0,569,326,0.5729349736379613,0.08446537196081244,0.531935120734082,2.931799948303131e-05,0.00013525620208785052,True
7,2,3,2625,1378,0.524952380952381,0.03648277927523208,0.5058260380549993,6.320091329676172e-05,0.00028298331411015173,True
