feature,gain,split
L21_K2,26841.279180526733,632
L21_K1,25942.96385192871,23
L20_K2,22393.60422039032,583
L18_K2,21806.255025863647,659
L17_K2,20399.151282310486,674
L19_K2,20220.715600013733,503
L22_K2,19376.493007659912,699
L28_K2,19205.587705612183,559
L16_K2,15965.187779426575,572
L12_K2,14713.27908706665,609
L24_K2,14555.855354309082,483
L15_K2,14555.766513824463,572
L9_K2,13963.680484771729,654
L10_K2,13856.113389015198,619
L29_K2,13159.459809303284,349
L14_K2,12660.181100845337,514
L13_K2,12085.635994911194,488
L26_K2,11854.094571113586,529
L25_K2,11743.005708694458,402
L8_K2,11735.46800994873,546
L23_K2,11231.240509033203,400
L27_K2,9380.341506958008,316
L30_K2,5558.177242279053,209
L11_K2,5411.213493347168,238
L7_K2,5141.704793930054,271
L31_K2,4810.590491294861,177
L22_K1,4733.4332818984985,15
L19_K1,3344.7931900024414,16
L32_K2,2547.5663175582886,75
L16_K1,2184.894591331482,18
L15_K1,2070.5185623168945,20
L17_K1,491.3733034133911,12
L12_K1,484.5095958709717,28
L20_K1,468.59199047088623,4
L11_K1,446.16178607940674,11
L14_K1,380.46330070495605,24
L6_K2,327.08879947662354,14
L1_K1,319.3414011001587,8
L18_K0,307.1787996292114,5
L13_K1,298.5305995941162,20
L10_K1,294.8284969329834,17
L18_K1,146.47779941558838,4
L9_K1,144.4242992401123,10
L24_K1,75.22659969329834,5
L3_K2,70.31649971008301,5
L0_K1,53.3050012588501,2
L5_K2,51.80629920959473,4
L25_K1,15.133199691772461,1
L4_K2,14.631699562072754,1
L8_K1,13.230899810791016,1
L0_K0,0.0,0
L0_K2,0.0,0
L1_K0,0.0,0
L1_K2,0.0,0
L2_K0,0.0,0
L2_K1,0.0,0
L2_K2,0.0,0
L3_K0,0.0,0
L3_K1,0.0,0
L4_K0,0.0,0
L4_K1,0.0,0
L5_K0,0.0,0
L5_K1,0.0,0
L6_K0,0.0,0
L6_K1,0.0,0
L7_K0,0.0,0
L7_K1,0.0,0
L8_K0,0.0,0
L9_K0,0.0,0
L10_K0,0.0,0
L11_K0,0.0,0
L12_K0,0.0,0
L13_K0,0.0,0
L14_K0,0.0,0
L15_K0,0.0,0
L16_K0,0.0,0
L17_K0,0.0,0
L19_K0,0.0,0
L20_K0,0.0,0
L21_K0,0.0,0
L22_K0,0.0,0
L23_K0,0.0,0
L23_K1,0.0,0
L24_K0,0.0,0
L25_K0,0.0,0
L26_K0,0.0,0
L26_K1,0.0,0
L27_K0,0.0,0
L27_K1,0.0,0
L28_K0,0.0,0
L28_K1,0.0,0
L29_K0,0.0,0
L29_K1,0.0,0
L30_K0,0.0,0
L30_K1,0.0,0
L31_K0,0.0,0
L31_K1,0.0,0
L32_K0,0.0,0
L32_K1,0.0,0
