feature,gain,split
L21_K1,26437.348121643066,22
L21_K2,25015.930176734924,563
L18_K2,23566.35266304016,732
L20_K2,20807.27233695984,526
L22_K2,20335.181688308716,722
L17_K2,20200.966514587402,672
L19_K2,19818.537714004517,483
L28_K2,16210.012722969055,526
L16_K2,15763.667530059814,571
L24_K2,15761.84143447876,530
L12_K2,15685.238380432129,644
L9_K2,14859.059517860413,716
L29_K2,14674.236594200134,351
L14_K2,14321.039309501648,563
L15_K2,14103.970491409302,557
L10_K2,13467.31381893158,618
L25_K2,11505.878623008728,378
L13_K2,11452.847701072693,456
L23_K2,11415.263584136963,411
L8_K2,10896.390711784363,504
L26_K2,10666.878984451294,474
L27_K2,9837.892567634583,340
L22_K1,5987.966892242432,16
L7_K2,5632.764605522156,291
L11_K2,5622.155811309814,248
L30_K2,5140.50208568573,215
L31_K2,4446.800290107727,165
L19_K1,3495.041428565979,20
L32_K2,2891.01988697052,90
L16_K1,2284.770655632019,16
L15_K1,1162.5517864227295,17
L11_K1,652.906078338623,12
L1_K1,557.9090976715088,10
L17_K1,406.18269538879395,9
L14_K1,391.0615015029907,23
L6_K2,360.5997009277344,19
L10_K1,319.5984983444214,20
L12_K1,283.38389778137207,18
L20_K1,252.0919942855835,3
L18_K1,251.03100109100342,7
L13_K1,203.90500164031982,13
L0_K1,174.8613986968994,4
L9_K1,155.6511993408203,9
L24_K1,95.89109992980957,6
L3_K2,59.66219997406006,4
L4_K2,26.375500679016113,2
L5_K2,16.63450050354004,1
L28_K1,15.327400207519531,1
L25_K1,15.030099868774414,1
L23_K1,14.992300033569336,1
L0_K2,0.0,0
L1_K2,0.0,0
L2_K1,0.0,0
L2_K2,0.0,0
L3_K1,0.0,0
L4_K1,0.0,0
L5_K1,0.0,0
L6_K1,0.0,0
L7_K1,0.0,0
L8_K1,0.0,0
L26_K1,0.0,0
L27_K1,0.0,0
L29_K1,0.0,0
L30_K1,0.0,0
L31_K1,0.0,0
L32_K1,0.0,0
